sep=,
DeviceTag:,C
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_11:50:42_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3304204859,0.630665,0.386928,-0.566249,0.363195,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3304221526,0.630560,0.386942,-0.566347,0.363211,9.87071609497070,0.76464217901230,0.63708555698395,1.40285873413086,-0.85736584663391,0.87244534492493
2,3304238193,0.630494,0.386961,-0.566410,0.363205,9.89311981201172,0.79465818405151,0.62775969505310,1.03809547424316,-0.64171975851059,0.55861288309097
3,3304254860,0.630503,0.386898,-0.566484,0.363141,9.88357830047607,0.78817820549011,0.61854082345963,0.41893410682678,-0.33302271366119,0.47598639130592
4,3304271527,0.630544,0.386836,-0.566520,0.363079,9.87121582031250,0.79736906290054,0.60614210367203,0.44397053122520,-0.04260031878948,0.30339521169662
5,3304288194,0.630576,0.386805,-0.566518,0.363060,9.86277961730957,0.77104461193085,0.61063021421432,0.74070650339127,0.11085177212954,0.28213670849800
6,3304304861,0.630575,0.386771,-0.566550,0.363049,9.82462406158447,0.71522295475006,0.58830112218857,0.93167471885681,-0.11430306732655,0.51042264699936
7,3304321528,0.630559,0.386712,-0.566622,0.363026,9.84055519104004,0.71457767486572,0.58112323284149,0.81284463405609,-0.31869241595268,0.70131415128708
8,3304338195,0.630522,0.386661,-0.566711,0.363007,9.84682083129883,0.75500351190567,0.58172738552094,0.69742095470428,-0.48936262726784,0.78200685977936
9,3304354862,0.630469,0.386618,-0.566804,0.362999,9.85697650909424,0.76274061203003,0.57116734981537,0.79369908571243,-0.56412607431412,0.83943045139313
10,3304371529,0.630430,0.386630,-0.566866,0.362957,9.86373901367188,0.77297300100327,0.56655955314636,0.94996213912964,-0.60193043947220,0.36582615971565
11,3304388196,0.630377,0.386656,-0.566926,0.362929,9.86680316925049,0.75739842653275,0.57526677846909,1.10534167289734,-0.64625322818756,0.40153029561043
12,3304404863,0.630288,0.386730,-0.566974,0.362929,9.86036300659180,0.75292110443115,0.55627202987671,1.52177846431732,-0.78171879053116,0.39649736881256
13,3304421530,0.630177,0.386818,-0.567046,0.362916,9.87757396697998,0.74977415800095,0.59000563621521,1.55510067939758,-1.03305613994598,0.39939162135124
14,3304438197,0.630118,0.386841,-0.567105,0.362901,9.87764167785645,0.76650536060333,0.60403597354889,1.15980696678162,-0.62332981824875,0.48615461587906
15,3304454864,0.630102,0.386849,-0.567147,0.362856,9.87467575073242,0.76875734329224,0.58132427930832,0.94148439168930,-0.42207804322243,0.25834250450134
16,3304471531,0.630105,0.386848,-0.567171,0.362813,9.87385749816895,0.77386146783829,0.57202357053757,0.90193831920624,-0.24008704721928,0.20611819624901
17,3304488198,0.630099,0.386896,-0.567184,0.362751,9.83523750305176,0.72327524423599,0.52337139844894,1.09796524047852,-0.40069147944450,-0.07136337459087
18,3304504865,0.630040,0.386931,-0.567243,0.362725,9.87236690521240,0.73507839441299,0.57527530193329,1.15414667129517,-0.68888556957245,0.38556078076363
19,3304521532,0.629951,0.386998,-0.567276,0.362756,9.87747192382812,0.75500613451004,0.56582909822464,1.62787926197052,-0.61225247383118,0.51431584358215
20,3304538199,0.629907,0.387048,-0.567271,0.362786,9.89292144775391,0.76209467649460,0.60993593931198,1.60244572162628,-0.23405525088310,0.36271426081657
21,3304554866,0.629927,0.387049,-0.567253,0.362779,9.87889003753662,0.75280886888504,0.62199693918228,1.13510358333588,0.09690564125776,0.20442773401737
22,3304571533,0.629750,0.387337,-0.567162,0.362922,9.80379199981689,0.72155791521072,0.38286980986595,3.60398864746094,-0.67210924625397,0.02812274731696
23,3304588200,0.629677,0.387459,-0.567217,0.362833,9.93952751159668,0.79621595144272,0.80866539478302,1.32968342304230,-1.09948289394379,-0.20016966760159
24,3304604867,0.629809,0.387372,-0.567183,0.362750,9.80398178100586,0.69985318183899,0.43693017959595,0.07750403136015,0.61222040653229,-0.11119112372398
25,3304621534,0.629847,0.387176,-0.567351,0.362628,9.80066013336182,0.70932549238205,0.47824272513390,-0.75966632366180,-0.45696255564690,0.92112231254578
26,3304638201,0.629739,0.387116,-0.567561,0.362553,9.82559013366699,0.77336621284485,0.54074680805206,0.32757362723351,-1.41946220397949,1.07260870933533
27,3304654868,0.629551,0.387185,-0.567713,0.362567,9.88850498199463,0.72597116231918,0.57871139049530,1.53568625450134,-1.56790053844452,0.99340128898621
28,3304671535,0.629377,0.387323,-0.567757,0.362654,9.90274620056152,0.74031555652618,0.54778069257736,2.43489694595337,-1.02053165435791,0.72314894199371
29,3304688202,0.629210,0.387553,-0.567790,0.362646,9.86675930023193,0.74975907802582,0.58493775129318,2.42618870735168,-1.42868280410767,-0.09914035350084
30,3304704869,0.629114,0.387659,-0.567844,0.362615,9.90636253356934,0.76137298345566,0.60380101203918,1.63394904136658,-0.99205011129379,0.17207889258862
