sep=,
DeviceTag:,D,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-09-05 16:20:01.000 -0400,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 71167451, -3.705728530883789, -14.407302856445312, 149.14422607421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 71184118, -3.752183198928833, -14.265658378601074, 149.09825134277344, 2.349452495574951, -0.7154643535614014, 9.732900619506836, 0.8631159067153931, 1.6940302848815918, 0.35422998666763306, 
2, 71200785, -3.838361978530884, -14.083991050720215, 148.70968627929688, 2.340017557144165, -0.7448533773422241, 9.776845932006836, 0.9672571420669556, 0.4874160587787628, -0.028045907616615295, 
3, 71217452, -3.935215711593628, -13.929426193237305, 148.8613739013672, 2.3668699264526367, -0.71413654088974, 9.779714584350586, 1.092618703842163, -0.7765642404556274, -0.3019225001335144, 
4, 71234119, -3.9967360496520996, -13.821102142333984, 149.03750610351562, 2.3693621158599854, -0.7015007138252258, 9.727418899536133, 0.878188967704773, -0.07280409336090088, 0.5006834268569946, 
5, 71250786, -4.033536911010742, -13.745847702026367, 149.06295776367188, 2.433140277862549, -0.6890935301780701, 9.724248886108398, 0.5652146339416504, 0.6313722729682922, 0.5835149884223938, 
6, 71267453, -4.04948616027832, -13.729480743408203, 148.90341186523438, 2.449970245361328, -0.6731995940208435, 9.688739776611328, 0.5684418678283691, -0.267153263092041, 0.2982150912284851, 
7, 71284120, -4.042362213134766, -13.761120796203613, 148.90679931640625, 2.431410551071167, -0.6694033741950989, 9.570914268493652, 1.0747408866882324, -1.6265857219696045, -0.061572927981615067, 
8, 71300787, -4.020265579223633, -13.797761917114258, 148.94741821289062, 2.3527398109436035, -0.6849352121353149, 9.567434310913086, 1.6453149318695068, -1.236619472503662, -0.029685117304325104, 
9, 71317454, -3.999502182006836, -13.81095027923584, 149.03472900390625, 2.41685152053833, -0.7147356867790222, 9.71847915649414, 1.5857398509979248, -0.19780687987804413, 0.23285147547721863, 
10, 71334121, -3.983524799346924, -13.812796592712402, 149.11160278320312, 2.4768168926239014, -0.6583032608032227, 9.732521057128906, 1.437596082687378, 0.40567314624786377, 0.36464160680770874, 
11, 71350788, -3.966284990310669, -13.818253517150879, 149.16848754882812, 2.4117252826690674, -0.7122019529342651, 9.727611541748047, 1.2671434879302979, 0.41298556327819824, 0.2801325023174286, 
12, 71367455, -3.957606792449951, -13.811416625976562, 149.22406005859375, 2.375063180923462, -0.7375394105911255, 9.75031566619873, 0.8813266158103943, 0.9773101210594177, 0.41490650177001953, 
13, 71384122, -3.948392391204834, -13.81784439086914, 149.2401885986328, 2.445739507675171, -0.6984111070632935, 9.748185157775879, 0.9524402022361755, -0.04179992154240608, -0.13536310195922852, 
14, 71400789, -3.940162420272827, -13.841704368591309, 149.28062438964844, 2.477043628692627, -0.6974935531616211, 9.798407554626465, 0.8863081336021423, -1.0514652729034424, -0.11352827399969101, 
15, 71417456, -3.9355392456054688, -13.859335899353027, 149.2971954345703, 2.4490277767181396, -0.6539315581321716, 9.702411651611328, 0.7535063624382019, -0.6477963924407959, 0.397733211517334, 
16, 71434123, -3.9266130924224854, -13.864219665527344, 149.29171752929688, 2.4201271533966064, -0.66391521692276, 9.629271507263184, 0.8965277671813965, 0.13494691252708435, 0.43767622113227844, 
17, 71450790, -3.9086811542510986, -13.878477096557617, 149.2799072265625, 2.4048092365264893, -0.6848412752151489, 9.628536224365234, 1.3331345319747925, -0.4298963248729706, 0.16965210437774658, 
18, 71467457, -3.8933777809143066, -13.866265296936035, 149.29415893554688, 2.362730026245117, -0.7072758078575134, 9.657506942749023, 1.2078500986099243, 1.0968832969665527, 0.38997259736061096, 
19, 71484124, -3.886026382446289, -13.837077140808105, 149.322021484375, 2.473890781402588, -0.6763490438461304, 9.71269416809082, 0.9637994766235352, 1.9453550577163696, 1.2258174419403076, 
20, 71500791, -3.878180980682373, -13.819875717163086, 149.33277893066406, 2.439943313598633, -0.7076908349990845, 9.770224571228027, 0.9338581562042236, 1.290732741355896, 1.0278184413909912, 
21, 71517458, -3.8774514198303223, -13.814435005187988, 149.37161254882812, 2.5024425983428955, -0.6973323822021484, 9.797551155090332, 0.5168450474739075, 0.5712592005729675, 0.9371111392974854, 
22, 71534125, -3.875972270965576, -13.811620712280273, 149.41024780273438, 2.486436605453491, -0.6666821837425232, 9.74009895324707, 0.5984855890274048, 0.45198094844818115, 1.083487629890442, 
23, 71550792, -3.8754284381866455, -13.802108764648438, 149.44857788085938, 2.469919443130493, -0.6567202806472778, 9.737788200378418, 0.4681296944618225, 0.8983334898948669, 0.933474063873291, 
24, 71567459, -3.8796093463897705, -13.778240203857422, 149.49925231933594, 2.3997743129730225, -0.6947219967842102, 9.734359741210938, 0.33310598134994507, 1.715999722480774, 1.7394609451293945, 
25, 71584126, -3.8813579082489014, -13.773737907409668, 149.54400634765625, 2.419213056564331, -0.6715760231018066, 9.656461715698242, 0.43064555525779724, 0.5205973386764526, 1.4364179372787476, 
26, 71600793, -3.872013807296753, -13.795565605163574, 149.56919860839844, 2.4014687538146973, -0.7012202739715576, 9.581515312194824, 1.0069314241409302, -1.0442042350769043, 1.0150506496429443, 
27, 71617460, -3.844174385070801, -13.833152770996094, 149.56504821777344, 2.3344521522521973, -0.6992325782775879, 9.531120300292969, 2.1385390758514404, -1.9991225004196167, 0.9685508012771606, 
28, 71634127, -3.824650287628174, -13.837069511413574, 149.5787811279297, 2.4903147220611572, -0.717109739780426, 9.682425498962402, 1.6754993200302124, -0.038355011492967606, 1.1798423528671265, 
29, 71650794, -3.818140745162964, -13.80460262298584, 149.567138671875, 2.460407018661499, -0.7309625744819641, 9.768627166748047, 0.9322191476821899, 2.163421630859375, 1.4056825637817383, 
30, 71667461, -3.8197851181030273, -13.765796661376953, 149.58377075195312, 2.43031907081604, -0.7555362582206726, 9.761484146118164, 0.4627062678337097, 2.537667989730835, 1.4254876375198364, 
31, 71684128, -3.8193044662475586, -13.742513656616211, 149.56838989257812, 2.390012741088867, -0.7246557474136353, 9.65368938446045, 0.596410870552063, 1.597265601158142, 1.2627125978469849, 
32, 71700795, -3.8074915409088135, -13.726873397827148, 149.55911254882812, 2.4102673530578613, -0.6823309063911438, 9.621550559997559, 1.185297966003418, 1.149222493171692, 0.8126973509788513, 
33, 71717462, -3.7934179306030273, -13.704275131225586, 149.5789031982422, 2.400207757949829, -0.6758438348770142, 9.674988746643066, 1.3662902116775513, 1.54901123046875, 1.0677742958068848, 
34, 71734129, -3.7796921730041504, -13.68576431274414, 149.60890197753906, 2.4313886165618896, -0.691019594669342, 9.700441360473633, 1.2605611085891724, 1.3126059770584106, 0.7547485828399658, 
35, 71750796, -3.7757697105407715, -13.64712905883789, 149.61700439453125, 2.4440317153930664, -0.6967296004295349, 9.765249252319336, 0.6418222188949585, 2.5267887115478516, 0.7280858755111694, 
36, 71767463, -3.7878427505493164, -13.581965446472168, 149.6027374267578, 2.438896894454956, -0.7151822447776794, 9.8558349609375, -0.31524109840393066, 4.114340782165527, 0.8612589836120605, 
37, 71784130, -3.8082454204559326, -13.528548240661621, 149.63214111328125, 2.384401559829712, -0.7421720623970032, 9.816118240356445, -0.8264322280883789, 3.4100046157836914, 0.7663255929946899, 
